m_id,max_in_g
1,487.20244
2,526.76689
3,541.89909
4,552.03859
5,565.13116
6,553.78122
7,549.44168
8,532.52101
9,542.54831
10,557.1509
11,570.73565
12,566.58589
13,563.29318
14,586.80645
15,593.23868
16,567.70624
17,566.39699
18,561.13881
19,565.91278
20,556.49596
21,567.97593
22,575.87026
23,590.62021
24,578.2384
25,592.4457
26,582.90254
27,549.78095
28,556.45189
29,567.42645
30,568.72879
31,547.9952
32,559.8225
33,570.53388
34,544.50129
35,555.59407
36,557.65811
37,567.76095
38,564.44047
39,558.75783
40,563.35295
41,565.37105
42,568.5731
43,608.72952
44,558.8481
45,535.95234
46,547.27707
47,551.70999
48,545.01747
49,532.56529
50,578.71585
51,576.74462
52,573.67106
53,587.87615
54,585.26729
55,578.77113
56,609.12331
57,558.91424
58,572.57012
59,545.2222
60,593.81936
61,612.73302
62,571.48761
63,578.62816
64,554.42142
65,612.19538
66,544.28202
67,559.23705
68,589.10777
69,578.62649
70,571.61218
71,574.6279
72,587.54512
73,559.56713
74,552.54649
75,551.62666
76,558.66808
77,560.26931
78,573.85949
79,588.7287
80,554.53278
81,564.29298
82,603.12213
83,595.09553
84,611.76039
85,602.02721
86,608.88768
87,583.57057
88,554.38475
89,575.93019
90,567.6385
91,583.32789
92,573.16447
93,604.84862
94,561.84489
95,545.58414
96,642.87203
97,566.06335
98,579.87801
99,588.19082
100,578.0131
101,534.93554
102,509.19853
103,502.37767
104,504.91905
105,505.71601
106,567.38919
107,600.93092
108,592.19976
109,611.73098
110,612.67367
111,612.90557
112,608.93189
113,609.60597
114,644.98807
115,628.6556
116,617.44818
117,637.05322
118,666.39596
119,645.81037
120,618.55734
121,684.69133
122,660.34083
123,660.42652
124,649.13919
125,633.90503
126,642.04695
127,628.76159
128,623.26164
129,644.94985
130,645.31618
131,630.93023
132,646.11294
133,660.35312
134,645.23502
135,624.7039
136,615.39111
137,612.02813
138,643.17288
139,621.32971
140,597.77063
141,605.41689
142,614.04966
143,633.30796
144,658.66564
145,638.71926
146,622.27723
147,598.2661
148,616.03622
149,620.63745
150,612.19416
151,604.3636
152,668.84579
153,642.37637
154,655.19328
155,657.11415
156,648.61131
157,682.35675
158,661.81015
159,660.76298
160,655.89671
161,642.37086
162,655.73404
163,696.81705
164,677.40802
165,666.01837
166,675.11499
167,651.92582
168,666.84873
169,667.83265
170,676.8599
171,689.07868
172,650.92951
173,718.87337
174,659.01031
175,657.27467
176,658.46611
177,653.72442
178,675.72987
179,668.33491
180,693.98337
181,640.72315
182,592.91255
183,606.69288
184,587.19156
185,672.21223
186,682.13782
187,711.89256
188,671.11935
189,697.90014
190,695.60688
191,682.71284
192,694.85252
193,699.76117
194,695.18303
195,673.08445
196,679.46277
197,678.07878
198,687.75005
199,695.67078
200,685.50275
201,681.99896
202,684.65452
203,642.30634
204,654.4462
205,661.56037
206,608.50808
207,717.69993
208,710.50981
209,774.94489
210,600.24309
211,626.61165
212,614.8479
213,690.85802
214,689.05841
215,702.20643
216,724.84892
217,674.84179
218,690.39272
219,682.44158
220,704.08249
221,710.9783
222,736.9252
223,649.23725
224,705.2029
225,718.9776
226,716.34944
227,724.65244
228,718.48532
229,744.3822
230,665.31203
231,709.05247
232,756.1392
233,719.81811
234,735.25466
235,715.47292
236,704.23078
237,726.64615
238,713.42059
239,724.02065
240,728.53622
241,758.32763
242,738.61342
